Node,Community,Degree,Betweenness Centrality,Closeness Centrality
Ophiuchus,0,26,0.05032164019615949,0.14955336199840175
General Discord chat members facing this problem.,0,1,0.0,0.10760785810894176
"big dookie, Binye",1,1,0.0,0.0017761989342806395
Node version 23.1.0 issue and .env file location,1,1,0.0,0.0017761989342806395
ModelProvider in character.json and typos causing fallback to default,0,1,0.0,0.10760785810894176
Gozde (06:41),2,1,0.0,0.0017761989342806395
Patabrava.eth,2,1,0.0,0.0017761989342806395
jin,0,5,0.005372843751382717,0.10874807382400338
hiroP,51,13,0.016664278472075713,0.13638670388226337
shaw,51,10,0.015357543022820407,0.13157819829667075
Hiro,51,1,0.0,0.09797708321852333
Dango🍡,3,1,0.0,0.0017761989342806395
eliza setup issue,3,1,0.0,0.0017761989342806395
coinwitch (ai16z intern),134,6,0.006367075695090962,0.12309564578279243
,134,10,0.012418154432686396,0.12650970067353245
ferric,6,21,0.036670411475066896,0.1405904036594564
"ATH🥭Hivo,coinwitch",0,1,0.0,0.08473147134893969
hiroP(00:03),4,1,0.0,0.0017761989342806395
All members of the chat discussing embeddings issue.,4,1,0.0,0.0017761989342806395
"Ophiuchus, Eliza",5,2,1.8902778016069148e-05,0.11899245759003269
SotoAlt,5,34,0.06389713034628029,0.15973695668700885
WAWE,5,22,0.03428993425576517,0.14955336199840175
Dorian,6,5,0.005400948545322228,0.10499334493238179
"shaw, ferric",6,1,0.0,0.082434533872613
stakeware.xyz,6,16,0.011591323444290836,0.12038826354416797
Ophiuchus](00:41),22,1,0.0,0.008327374224354686
All,22,5,0.00041718551481324627,0.010867929072462893
"Dorian, SotoAlt",6,2,0.00012852685052327286,0.10314672831296802
stakeware.xyz](01:47),6,2,0.00021754749699226102,0.10789066456914921
bot,6,2,3.442578658819719e-05,0.10393012118623109
"bot tweeting issue, suggested checking interactions every 15-20 minutes and limiting to two tweets per day.",51,1,0.0,0.10061862222686588
slim (05:21),134,1,0.0,0.09513881313687433
0x𝒲𝒶𝓁𝒸𝒽] (6:15-7),6,2,3.442578658819719e-05,0.10393012118623109
st4rgard3n,24,2,0.0013526924268187075,0.09469987974293258
Tharakesh,24,11,0.020107930447810212,0.12535083318644663
POV,24,4,0.005366522758734032,0.09535980921849309
WAWE](02:29),24,1,0.0,0.09448192835111917
"discordjs/opus install script issue resolution: pnpm clean, pnpm i, and pnpm rebuild.",7,1,0.0,0.0017761989342806395
Leonard,7,1,0.0,0.0017761989342806395
RL,24,7,0.0036567745138379043,0.12440120566230689
POV (04:17),8,1,0.0,0.0017761989342806395
Provided a solution to delete db sqlite and rebuild for Discord bot communication error.,8,1,0.0,0.0017761989342806395
solswappa(05:51),9,1,0.0,0.0017761989342806395
Shared information on setting up a railway for Twitter client.,9,1,0.0,0.0017761989342806395
Thomas Huy](07:02),10,1,0.0,0.0017761989342806395
Issue,10,1,0.0,0.0017761989342806395
Leonard (07:10),11,1,0.0,0.0017761989342806395
"Tharakesh (07:12)], [Citizen1553 (07:09)",11,1,0.0,0.0017761989342806395
"LevelsDennis, big dookie",12,1,0.0,0.0017761989342806395
infinite — ai/16z,12,1,0.0,0.0017761989342806395
Provided a link for 'trust score' feature implementation,13,2,6.320992648685549e-06,0.003552397868561279
Dave,13,1,0.0,0.002368265245707519
Eco,13,1,0.0,0.002368265245707519
Suggested running yarn commands for character file import,14,1,0.0,0.006216696269982238
naturevrm,14,6,0.00011693836400068266,0.010879218472468916
loaf,14,1,0.0,0.006216696269982238
N/A,14,1,0.0,0.006216696269982238
hiroP] (03:57),134,1,0.0,0.09513881313687433
Jb (04:57),5,2,1.8902778016069148e-05,0.11899245759003269
big dookie,34,8,0.012807459854924192,0.12346585825131211
jb,34,1,0.0,0.09340704862016218
leonprou,14,2,1.5802481621713873e-05,0.007252812314979278
