Node,Community,Degree,Betweenness Centrality,Closeness Centrality
Ophiuchus,33,26,0.05032164019615949,0.14955336199840175
General Discord chat members facing this problem.,33,1,0.0,0.10760785810894176
"big dookie, Binye",0,1,0.0,0.0017761989342806395
Node version 23.1.0 issue and .env file location,0,1,0.0,0.0017761989342806395
ModelProvider in character.json and typos causing fallback to default,33,1,0.0,0.10760785810894176
Gozde (06:41),1,1,0.0,0.0017761989342806395
Patabrava.eth,1,1,0.0,0.0017761989342806395
jin,33,5,0.005372843751382717,0.10874807382400338
hiroP,90,13,0.016664278472075713,0.13638670388226337
shaw,90,10,0.015357543022820407,0.13157819829667075
Hiro,90,1,0.0,0.09797708321852333
Dango🍡,2,1,0.0,0.0017761989342806395
eliza setup issue,2,1,0.0,0.0017761989342806395
coinwitch (ai16z intern),52,6,0.006367075695090962,0.12309564578279243
,52,10,0.012418154432686396,0.12650970067353245
ferric,37,21,0.036670411475066896,0.1405904036594564
"ATH🥭Hivo,coinwitch",33,1,0.0,0.08473147134893969
hiroP(00:03),4,1,0.0,0.0017761989342806395
All members of the chat discussing embeddings issue.,4,1,0.0,0.0017761989342806395
"Ophiuchus, Eliza",3,2,1.8902778016069148e-05,0.11899245759003269
SotoAlt,3,34,0.06389713034628029,0.15973695668700885
WAWE,3,22,0.03428993425576517,0.14955336199840175
Dorian,37,5,0.005400948545322228,0.10499334493238179
"shaw, ferric",37,1,0.0,0.082434533872613
stakeware.xyz,37,16,0.011591323444290836,0.12038826354416797
Ophiuchus](00:41),21,1,0.0,0.008327374224354686
All,21,5,0.00041718551481324627,0.010867929072462893
"Dorian, SotoAlt",37,2,0.00012852685052327286,0.10314672831296802
stakeware.xyz](01:47),37,2,0.00021754749699226102,0.10789066456914921
bot,37,2,3.442578658819719e-05,0.10393012118623109
"bot tweeting issue, suggested checking interactions every 15-20 minutes and limiting to two tweets per day.",90,1,0.0,0.10061862222686588
slim (05:21),52,1,0.0,0.09513881313687433
0x𝒲𝒶𝓁𝒸𝒽] (6:15-7),37,2,3.442578658819719e-05,0.10393012118623109
st4rgard3n,5,2,0.0013526924268187075,0.09469987974293258
Tharakesh,5,11,0.020107930447810212,0.12535083318644663
POV,5,4,0.005366522758734032,0.09535980921849309
WAWE](02:29),5,1,0.0,0.09448192835111917
"discordjs/opus install script issue resolution: pnpm clean, pnpm i, and pnpm rebuild.",6,1,0.0,0.0017761989342806395
Leonard,6,1,0.0,0.0017761989342806395
RL,5,7,0.0036567745138379043,0.12440120566230689
POV (04:17),7,1,0.0,0.0017761989342806395
Provided a solution to delete db sqlite and rebuild for Discord bot communication error.,7,1,0.0,0.0017761989342806395
solswappa(05:51),8,1,0.0,0.0017761989342806395
Shared information on setting up a railway for Twitter client.,8,1,0.0,0.0017761989342806395
Thomas Huy](07:02),9,1,0.0,0.0017761989342806395
Issue,9,1,0.0,0.0017761989342806395
Leonard (07:10),10,1,0.0,0.0017761989342806395
"Tharakesh (07:12)], [Citizen1553 (07:09)",10,1,0.0,0.0017761989342806395
"LevelsDennis, big dookie",11,1,0.0,0.0017761989342806395
infinite — ai/16z,11,1,0.0,0.0017761989342806395
Provided a link for 'trust score' feature implementation,12,2,6.320992648685549e-06,0.003552397868561279
Dave,12,1,0.0,0.002368265245707519
Eco,12,1,0.0,0.002368265245707519
Suggested running yarn commands for character file import,127,1,0.0,0.006216696269982238
naturevrm,127,6,0.00011693836400068266,0.010879218472468916
loaf,127,1,0.0,0.006216696269982238
N/A,127,1,0.0,0.006216696269982238
hiroP] (03:57),52,1,0.0,0.09513881313687433
Jb (04:57),3,2,1.8902778016069148e-05,0.11899245759003269
big dookie,13,8,0.012807459854924192,0.12346585825131211
jb,13,1,0.0,0.09340704862016218
leonprou,127,2,1.5802481621713873e-05,0.007252812314979278
Ensemble,127,2,1.5802481621713873e-05,0.007252812314979278
nomansky,14,1,0.0,0.0017761989342806395
"Google Gemini model error issue, suggested trying version alpha.3.",14,1,0.0,0.0017761989342806395
hosermage,15,3,1.8962977946056647e-05,0.0053285968028419185
unknown,15,1,0.0,0.003197158081705151
puremood,16,3,5.688893383816994e-05,0.007104795737122558
All members in the chat,16,1,0.0,0.004567368688150215
Konstantine,16,4,7.585191178422659e-05,0.007992895204262877
Mfairy and AzFlin,17,1,0.0,0.0017761989342806395
NavarroCol/VickyDev,17,1,0.0,0.0017761989342806395
Artego,18,1,0.0,0.0017761989342806395
NavarroCol / VickyDev/nodms (05:34),18,1,0.0,0.0017761989342806395
Kush,19,1,0.0,0.002368265245707519
NavarroCol / VickyDev/nodms (05:42),19,2,6.320992648685549e-06,0.003552397868561279
Cartman,19,1,0.0,0.002368265245707519
NavarroCol / VickyDev,15,1,0.0,0.003197158081705151
juneaucrypto,20,1,0.0,0.002368265245707519
g,20,2,6.320992648685549e-06,0.003552397868561279
The Interns AI] (07:23),20,1,0.0,0.002368265245707519
Yoni,16,1,0.0,0.004567368688150215
EdwardLazz,21,3,0.00022123474270399423,0.01165832391409656
bigxiang,21,1,0.0,0.008783668702401517
Bel,21,4,0.0007395561398962092,0.015639215006714897
fudme,21,1,0.0,0.008783668702401517
CaptainCool,21,2,0.00044246948540798846,0.013085873781128791
CaptainCool and RZ,21,1,0.0,0.010867929072462893
dnx,21,6,0.0007079511766527816,0.014911809657565368
0xM1M3,21,2,0.00011377786767633988,0.010867929072462893
Tharakesh (00:51),22,1,0.0,0.0017761989342806395
(POV),22,1,0.0,0.0017761989342806395
Tharakesh](01:05),5,1,0.0,0.0763765541740675
Nona](01:16),5,1,0.0,0.0763765541740675
!MakturbLab,23,1,0.0,0.0017761989342806395
YoungphLo (01:46),23,1,0.0,0.0017761989342806395
cMooreLabs,24,1,0.0,0.0017761989342806395
Tharakesh (02:53),24,1,0.0,0.0017761989342806395
Isk heheh,5,2,0.0013526924268187075,0.07651891494606015
